# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-1.397352941176470686e+01, 2.609741464229264896e-04, 8.633799444400470577e-03, 1.631088415143283621e-03, 5.396124652750294154e-02
-1.381470588235294272e+01, 2.644462499883769996e-04, 9.533348758470124029e-03, 1.652789062427356681e-03, 5.958342974043826651e-02
-1.365588235294117858e+01, 2.667519543091013273e-04, 1.047356156810620546e-02, 1.667199714431868984e-03, 6.545975980066377764e-02
-1.349705882352941266e+01, 2.678810452869332531e-04, 1.144787995648267540e-02, 1.674256533043344541e-03, 7.154924972801669780e-02
-1.333823529411764852e+01, 2.678190272104429698e-04, 1.244849293092290844e-02, 1.673868920065268995e-03, 7.780308081826815825e-02
-1.317941176470588438e+01, 2.664760507536320655e-04, 1.346594826234752233e-02, 1.665475317210174389e-03, 8.416217663967201501e-02
-1.302058823529411846e+01, 2.639332128862269256e-04, 1.449055166703833858e-02, 1.649582580538933030e-03, 9.056594791898960051e-02
-1.286176470588235432e+01, 2.601921947981856303e-04, 1.551142698522693826e-02, 1.626201217488659756e-03, 9.694641865766835676e-02
-1.270294117647059018e+01, 2.551861778894645716e-04, 1.651639295523664452e-02, 1.594913611809148368e-03, 1.032274559702290179e-01
-1.254411764705882426e+01, 2.491070211917863209e-04, 1.749471933886595845e-02, 1.556918882448646291e-03, 1.093419958679122395e-01
-1.238529411764706012e+01, 2.419437901803982160e-04, 1.843421825554183296e-02, 1.512148688627479309e-03, 1.152138640971364369e-01
-1.222647058823529598e+01, 2.336893272757260831e-04, 1.932231716336488270e-02, 1.460558295473313173e-03, 1.207644822710304960e-01
-1.206764705882353006e+01, 2.245945075373088906e-04, 2.014978724257939294e-02, 1.403715672108174495e-03, 1.259361702661211946e-01
-1.190882352941176592e+01, 2.146398087007166111e-04, 2.090504931515398471e-02, 1.341498804379476217e-03, 1.306565582197123931e-01
-1.175000000000000178e+01, 2.039017732123060700e-04, 2.157782840498751256e-02, 1.274386082576905999e-03, 1.348614275311719457e-01
-1.159117647058823586e+01, 1.926237712586778561e-04, 2.216183597415275625e-02, 1.203898570366734866e-03, 1.385114748384546901e-01
-1.143235294117647172e+01, 1.807927279302949664e-04, 2.264741054384044466e-02, 1.129954549564327060e-03, 1.415463158990027670e-01
-1.127352941176470758e+01, 1.685618565521011802e-04, 2.302824968457183388e-02, 1.053511603450602019e-03, 1.439265605285739436e-01
-1.111470588235294166e+01, 1.561374144222124616e-04, 2.330129847016936678e-02, 9.758588401388157418e-04, 1.456331154385585303e-01
-1.095588235294117752e+01, 1.435112054234549683e-04, 2.345856419858253356e-02, 8.969450338965900826e-04, 1.466160262411408122e-01
-1.079705882352941337e+01, 1.309048343191149266e-04, 2.349886332152787208e-02, 8.181552144944648219e-04, 1.468678957595491719e-01
-1.063823529411764746e+01, 1.184683561583563249e-04, 2.342136394508587127e-02, 7.404272259897426434e-04, 1.463835246567866677e-01
-1.047941176470588331e+01, 1.062003825383246725e-04, 2.321884352807290774e-02, 6.637523908644971105e-04, 1.451177720504556734e-01
-1.032058823529411917e+01, 9.436847171484866181e-05, 2.289675886850792846e-02, 5.898029482178102079e-04, 1.431047429281745165e-01
-1.016176470588235325e+01, 8.305225652940548264e-05, 2.245505599041248621e-02, 5.190766033087712561e-04, 1.403440999400780154e-01
